Date,Amount_INR,Transaction_Status,Fraud_Flag,Is_Success,State,Merchant_Category,Transaction_Type,Device_Type,Network_Type,Sender_Bank,Receiver_Bank,Sender_Age_Group,Transaction_Authenticity
2024-10-28,793,Success,0,1,Maharashtra,Other,P2P,Android,4G,ICICI,Paytm Bank,26-35,Authenticated
2024-02-14,269,Failed,0,0,Uttar Pradesh,Grocery,P2M,Android,5G,UPI-Pay,ICICI,18-25,Authenticated
2024-01-29,561,Success,0,1,Uttar Pradesh,Other,P2P,Android,5G,Yes Bank,UPI-Pay,36-45,Authenticated
2024-06-26,1295,Success,0,1,Maharashtra,Transport,P2M,Android,4G,ICICI,PNB,36-45,Authenticated
2024-11-02,668,Success,0,1,Rajasthan,Other,P2P,Android,4G,Paytm Bank,PNB,46-55,Authenticated
2024-04-22,271,Success,0,1,Maharashtra,Utilities,Bill Payment,iOS,5G,Yes Bank,ICICI,26-35,Authenticated
2024-03-09,619,Success,0,1,Tamil Nadu,Utilities,Bill Payment,Android,4G,Yes Bank,UPI-Pay,18-25,Authenticated
2024-01-04,5525,Success,0,1,Delhi,Other,P2P,Android,5G,UPI-Pay,SBI,18-25,Authenticated
2024-06-22,7209,Success,0,1,Maharashtra,Other,P2P,iOS,4G,PNB,HDFC,36-45,Authenticated
2024-12-12,399,Success,0,1,Rajasthan,Other,P2P,Android,4G,HDFC,ICICI,36-45,Authenticated
2024-06-21,167,Success,0,1,Uttar Pradesh,Other,P2P,Android,4G,SBI,UPI-Pay,26-35,Authenticated
2024-04-11,1230,Success,0,1,Karnataka,Other,P2P,Android,5G,SBI,Yes Bank,36-45,Authenticated
2024-06-16,1123,Success,0,1,Telangana,Utilities,Bill Payment,Android,4G,Yes Bank,HDFC,56+,Authenticated
2024-02-05,709,Success,0,1,Andhra Pradesh,Utilities,P2M,Android,WiFi,UPI-Pay,Paytm Bank,56+,Authenticated
2024-07-06,588,Success,0,1,Telangana,Other,P2P,Android,4G,ICICI,Axis,56+,Authenticated
2024-12-03,605,Success,0,1,Maharashtra,Grocery,P2M,Android,WiFi,UPI-Pay,SBI,26-35,Authenticated
2024-06-07,894,Success,0,1,Telangana,Shopping,P2M,Android,WiFi,ICICI,PNB,18-25,Authenticated
2024-10-03,8280,Success,0,1,Uttar Pradesh,Shopping,P2M,Android,5G,Axis,SBI,26-35,Authenticated
2024-08-01,1189,Success,0,1,Tamil Nadu,Other,P2P,Android,5G,SBI,ICICI,36-45,Authenticated
2024-08-02,1380,Failed,0,0,Uttar Pradesh,Fuel,P2M,Android,5G,HDFC,ICICI,18-25,Authenticated
2024-04-24,179,Success,0,1,Karnataka,Healthcare,P2M,Android,4G,Paytm Bank,ICICI,18-25,Authenticated
2024-03-30,1479,Success,0,1,Uttar Pradesh,Other,P2P,Android,4G,PNB,Axis,26-35,Authenticated
2024-01-15,712,Success,0,1,Tamil Nadu,Other,P2P,Android,4G,Axis,HDFC,26-35,Authenticated
2024-10-26,462,Success,0,1,West Bengal,Fuel,P2M,iOS,5G,PNB,Paytm Bank,36-45,Authenticated
2024-02-05,432,Success,0,1,Maharashtra,Fuel,P2M,Android,WiFi,SBI,UPI-Pay,26-35,Authenticated
2024-02-07,1411,Success,0,1,Karnataka,Other,P2P,iOS,5G,HDFC,ICICI,26-35,Authenticated
2024-01-13,6886,Success,0,1,Uttar Pradesh,Other,P2P,Android,4G,HDFC,Yes Bank,36-45,Authenticated
2024-03-16,426,Success,0,1,Telangana,Other,P2P,Android,4G,Paytm Bank,PNB,36-45,Authenticated
2024-12-21,1441,Success,0,1,Rajasthan,Other,P2P,Android,4G,ICICI,SBI,26-35,Authenticated
2024-01-30,959,Success,0,1,Uttar Pradesh,Utilities,Bill Payment,Android,5G,Paytm Bank,HDFC,36-45,Authenticated
2024-07-22,856,Success,0,1,Delhi,Other,P2M,iOS,5G,SBI,Axis,46-55,Authenticated
2024-04-01,1459,Success,0,1,Delhi,Food,P2M,Android,4G,SBI,Yes Bank,56+,Authenticated
2024-11-10,1095,Success,0,1,Karnataka,Shopping,P2M,Android,4G,SBI,UPI-Pay,26-35,Authenticated
2024-09-05,902,Success,0,1,Uttar Pradesh,Shopping,P2M,iOS,4G,UPI-Pay,Axis,46-55,Authenticated
2024-06-28,154,Success,0,1,Andhra Pradesh,Transport,P2M,iOS,WiFi,Paytm Bank,Yes Bank,36-45,Authenticated
2024-08-27,845,Success,0,1,Rajasthan,Utilities,Bill Payment,iOS,4G,ICICI,Axis,26-35,Authenticated
2024-06-08,679,Success,0,1,Maharashtra,Other,P2P,Android,4G,Yes Bank,ICICI,26-35,Authenticated
2024-11-25,862,Success,0,1,Gujarat,Transport,P2M,Android,4G,UPI-Pay,SBI,36-45,Authenticated
2024-01-03,659,Success,0,1,Uttar Pradesh,Utilities,P2M,Android,4G,Yes Bank,ICICI,56+,Authenticated
2024-11-19,838,Success,0,1,Maharashtra,Utilities,P2M,iOS,4G,ICICI,Paytm Bank,26-35,Authenticated
2024-10-25,1045,Success,0,1,Uttar Pradesh,Other,P2P,Android,4G,HDFC,SBI,26-35,Authenticated
2024-10-24,145,Success,0,1,Karnataka,Food,P2M,Android,5G,UPI-Pay,SBI,36-45,Authenticated
2024-01-22,1269,Failed,0,0,West Bengal,Other,P2P,Android,4G,Yes Bank,UPI-Pay,18-25,Authenticated
2024-09-19,3858,Failed,0,0,Tamil Nadu,Other,P2P,Android,4G,PNB,HDFC,36-45,Authenticated
2024-12-11,485,Success,0,1,West Bengal,Other,P2P,iOS,4G,Paytm Bank,SBI,18-25,Authenticated
2024-11-25,1207,Success,0,1,Gujarat,Other,P2P,iOS,4G,PNB,ICICI,18-25,Authenticated
2024-01-24,240,Success,0,1,Maharashtra,Food,P2M,Android,5G,PNB,HDFC,26-35,Authenticated
2024-07-18,1464,Success,0,1,Gujarat,Other,P2P,iOS,4G,UPI-Pay,Axis,36-45,Authenticated
2024-04-08,174,Success,0,1,Uttar Pradesh,Healthcare,P2M,Android,4G,SBI,UPI-Pay,26-35,Authenticated
2024-09-10,1425,Success,0,1,Maharashtra,Other,P2M,Android,4G,SBI,UPI-Pay,36-45,Authenticated
2024-04-28,1069,Success,0,1,Tamil Nadu,Utilities,Bill Payment,Android,4G,SBI,PNB,18-25,Authenticated
2024-03-06,1420,Success,0,1,Karnataka,Other,P2P,iOS,4G,Yes Bank,Paytm Bank,36-45,Authenticated
2024-02-12,1397,Success,0,1,Karnataka,Other,P2P,Android,4G,Yes Bank,HDFC,26-35,Authenticated
2024-03-10,5317,Success,0,1,Karnataka,Utilities,Bill Payment,Android,5G,Axis,PNB,36-45,Authenticated
2024-02-03,513,Success,0,1,Gujarat,Other,P2P,Android,5G,PNB,UPI-Pay,26-35,Authenticated
2024-01-22,1179,Success,0,1,Delhi,Transport,P2M,Android,4G,PNB,Yes Bank,26-35,Authenticated
2024-10-18,127,Success,0,1,Maharashtra,Utilities,Bill Payment,Android,4G,Axis,ICICI,36-45,Authenticated
2024-10-04,763,Success,0,1,Uttar Pradesh,Other,P2P,Android,WiFi,Axis,SBI,36-45,Authenticated
2024-08-07,475,Failed,0,0,Uttar Pradesh,Utilities,Bill Payment,Android,4G,ICICI,Paytm Bank,18-25,Authenticated
2024-10-27,1450,Success,0,1,West Bengal,Other,P2P,iOS,5G,SBI,UPI-Pay,26-35,Authenticated
2024-01-29,135,Success,0,1,Gujarat,Other,P2P,Android,4G,Paytm Bank,Yes Bank,26-35,Authenticated
2024-07-28,553,Success,0,1,Maharashtra,Other,Recharge,Android,4G,UPI-Pay,ICICI,26-35,Authenticated
2024-01-27,621,Success,0,1,Gujarat,Healthcare,P2M,Android,5G,SBI,PNB,36-45,Authenticated
2024-02-19,477,Success,0,1,Rajasthan,Healthcare,P2M,Android,4G,UPI-Pay,PNB,36-45,Authenticated
2024-12-01,7964,Success,0,1,West Bengal,Other,P2P,iOS,5G,Paytm Bank,HDFC,46-55,Authenticated
2024-08-04,950,Success,0,1,Delhi,Other,P2P,Android,4G,PNB,ICICI,36-45,Authenticated
2024-03-11,439,Success,0,1,Uttar Pradesh,Utilities,P2M,iOS,4G,SBI,PNB,36-45,Authenticated
2024-03-21,3864,Success,0,1,Delhi,Other,P2P,iOS,WiFi,Yes Bank,ICICI,26-35,Authenticated
2024-03-23,280,Success,0,1,West Bengal,Other,P2P,iOS,4G,UPI-Pay,PNB,36-45,Authenticated
2024-03-08,278,Success,0,1,Gujarat,Other,P2P,Android,4G,PNB,HDFC,18-25,Authenticated
2024-11-30,988,Success,0,1,Karnataka,Other,P2P,Android,5G,PNB,UPI-Pay,46-55,Authenticated
2024-02-20,1017,Success,0,1,Maharashtra,Utilities,Bill Payment,Android,4G,Yes Bank,Paytm Bank,18-25,Authenticated
2024-01-03,1235,Success,0,1,Maharashtra,Utilities,Bill Payment,Android,WiFi,Paytm Bank,PNB,36-45,Authenticated
2024-11-19,648,Success,0,1,Karnataka,Other,P2P,Android,4G,HDFC,UPI-Pay,36-45,Authenticated
2024-08-09,881,Success,0,1,Maharashtra,Other,P2P,Android,WiFi,Yes Bank,ICICI,26-35,Authenticated
2024-11-17,777,Success,0,1,Gujarat,Food,P2M,Android,4G,Yes Bank,SBI,36-45,Authenticated
2024-12-01,4227,Success,0,1,Tamil Nadu,Other,P2M,iOS,4G,Paytm Bank,HDFC,36-45,Authenticated
2024-10-23,840,Success,0,1,Maharashtra,Food,P2M,iOS,4G,UPI-Pay,Paytm Bank,18-25,Authenticated
2024-06-04,916,Success,0,1,Tamil Nadu,Fuel,P2M,Android,4G,ICICI,Paytm Bank,18-25,Authenticated
2024-06-15,1045,Success,0,1,Tamil Nadu,Other,P2P,Android,WiFi,ICICI,PNB,36-45,Authenticated
2024-04-11,993,Success,0,1,Uttar Pradesh,Healthcare,P2M,Android,WiFi,Axis,Paytm Bank,36-45,Authenticated
2024-08-06,338,Success,0,1,Tamil Nadu,Other,P2P,Android,4G,PNB,SBI,26-35,Authenticated
2024-09-06,2155,Success,0,1,Uttar Pradesh,Other,P2P,Android,5G,PNB,Yes Bank,26-35,Authenticated
2024-10-28,5381,Success,0,1,Karnataka,Other,P2P,Android,4G,Paytm Bank,SBI,26-35,Suspicious
2024-06-25,994,Success,0,1,Rajasthan,Other,P2P,Android,4G,HDFC,Paytm Bank,18-25,Authenticated
2024-09-08,245,Success,0,1,Uttar Pradesh,Entertainment,P2M,Android,4G,Axis,HDFC,26-35,Authenticated
2024-10-14,1297,Success,0,1,Maharashtra,Utilities,P2M,Android,4G,UPI-Pay,SBI,56+,Authenticated
2024-04-28,377,Success,0,1,Gujarat,Other,P2P,Android,4G,Yes Bank,Paytm Bank,36-45,Authenticated
2024-10-22,335,Success,0,1,Uttar Pradesh,Other,P2P,Android,4G,Axis,PNB,26-35,Authenticated
2024-05-20,1235,Success,0,1,Maharashtra,Entertainment,P2M,Android,4G,Axis,SBI,36-45,Authenticated
2024-08-26,820,Success,0,1,Maharashtra,Other,P2P,Android,WiFi,Paytm Bank,ICICI,46-55,Authenticated
2024-05-11,385,Success,0,1,Gujarat,Utilities,Bill Payment,Android,4G,Paytm Bank,Yes Bank,56+,Authenticated
2024-10-25,261,Success,0,1,Andhra Pradesh,Education,P2M,Android,4G,HDFC,Paytm Bank,18-25,Authenticated
2024-02-28,307,Success,0,1,Karnataka,Other,P2P,Android,4G,PNB,Paytm Bank,18-25,Authenticated
2024-11-17,215,Success,0,1,Telangana,Other,P2M,Android,4G,Yes Bank,Axis,56+,Authenticated
2024-02-19,398,Success,0,1,Uttar Pradesh,Other,P2P,Android,4G,Paytm Bank,PNB,56+,Authenticated
2024-09-13,797,Success,0,1,Andhra Pradesh,Other,P2P,Android,4G,Axis,Yes Bank,26-35,Authenticated
2024-06-26,939,Success,0,1,Maharashtra,Other,Recharge,Android,WiFi,PNB,SBI,36-45,Suspicious
2024-03-22,325,Success,0,1,Karnataka,Other,P2P,iOS,4G,Yes Bank,Paytm Bank,46-55,Authenticated
2024-01-21,116,Success,0,1,Tamil Nadu,Other,P2P,iOS,5G,SBI,Paytm Bank,36-45,Authenticated
2024-09-22,863,Success,0,1,Delhi,Other,P2P,iOS,4G,Axis,UPI-Pay,26-35,Authenticated
2024-02-29,213,Success,0,1,Rajasthan,Utilities,Bill Payment,Android,5G,SBI,UPI-Pay,26-35,Authenticated
2024-06-25,288,Success,0,1,Karnataka,Utilities,Bill Payment,iOS,4G,Paytm Bank,SBI,36-45,Authenticated
2024-11-19,1069,Success,0,1,Karnataka,Utilities,Bill Payment,iOS,4G,Paytm Bank,UPI-Pay,26-35,Authenticated
2024-04-13,854,Success,0,1,Rajasthan,Other,P2P,Android,4G,PNB,UPI-Pay,18-25,Authenticated
2024-02-16,657,Success,0,1,Karnataka,Entertainment,P2M,Android,4G,Axis,UPI-Pay,26-35,Authenticated
2024-07-06,590,Success,0,1,Delhi,Other,P2P,Android,4G,ICICI,UPI-Pay,18-25,Authenticated
2024-09-01,513,Success,0,1,Karnataka,Fuel,P2M,Android,5G,Axis,PNB,26-35,Authenticated
2024-06-25,1475,Success,0,1,Rajasthan,Other,P2P,iOS,4G,SBI,Paytm Bank,26-35,Authenticated
2024-08-14,433,Success,0,1,Karnataka,Utilities,Bill Payment,Android,4G,Paytm Bank,PNB,26-35,Authenticated
2024-01-31,1844,Success,0,1,Delhi,Shopping,P2M,Android,4G,PNB,HDFC,36-45,Authenticated
2024-11-29,3054,Success,0,1,Rajasthan,Shopping,P2M,Android,4G,UPI-Pay,PNB,36-45,Authenticated
2024-08-14,4621,Success,0,1,Uttar Pradesh,Other,P2P,Android,4G,PNB,ICICI,18-25,Authenticated
2024-10-15,687,Success,0,1,Maharashtra,Shopping,P2M,Android,4G,PNB,Paytm Bank,26-35,Authenticated
2024-02-14,136,Success,0,1,Uttar Pradesh,Other,P2P,iOS,4G,Axis,Yes Bank,26-35,Authenticated
2024-01-18,188,Success,0,1,Tamil Nadu,Utilities,Bill Payment,Android,WiFi,UPI-Pay,ICICI,36-45,Authenticated
2024-01-19,1414,Success,0,1,Maharashtra,Utilities,Bill Payment,Android,4G,Axis,ICICI,36-45,Authenticated
2024-12-22,292,Success,0,1,Karnataka,Healthcare,P2M,iOS,4G,HDFC,Axis,26-35,Authenticated
2024-06-15,539,Success,0,1,Uttar Pradesh,Other,P2P,iOS,4G,Yes Bank,ICICI,56+,Authenticated
2024-07-03,958,Success,0,1,Uttar Pradesh,Other,P2P,Android,5G,HDFC,Yes Bank,18-25,Suspicious
2024-12-20,630,Success,0,1,Uttar Pradesh,Other,P2P,iOS,WiFi,SBI,ICICI,36-45,Authenticated
2024-04-16,1148,Success,0,1,West Bengal,Other,P2P,Android,4G,Axis,PNB,46-55,Authenticated
2024-02-04,769,Success,0,1,Karnataka,Food,P2M,Android,5G,PNB,ICICI,26-35,Authenticated
2024-03-04,915,Success,0,1,Delhi,Entertainment,P2M,iOS,5G,PNB,Axis,18-25,Authenticated
2024-08-19,1212,Success,0,1,Gujarat,Utilities,P2M,Android,4G,Paytm Bank,Axis,36-45,Authenticated
2024-10-25,1157,Success,0,1,Telangana,Food,P2M,Android,4G,PNB,UPI-Pay,18-25,Authenticated
2024-10-11,885,Success,0,1,Maharashtra,Food,P2M,Android,4G,HDFC,UPI-Pay,46-55,Authenticated
2024-10-24,335,Success,0,1,West Bengal,Utilities,Bill Payment,iOS,4G,Axis,Yes Bank,56+,Authenticated
2024-08-19,160,Success,0,1,West Bengal,Other,P2P,Android,5G,UPI-Pay,ICICI,26-35,Authenticated
2024-11-25,631,Success,0,1,Andhra Pradesh,Other,P2P,iOS,4G,HDFC,Axis,18-25,Authenticated
2024-10-11,196,Success,0,1,Rajasthan,Other,Recharge,iOS,4G,Paytm Bank,HDFC,36-45,Suspicious
2024-07-27,1329,Success,0,1,Delhi,Other,P2P,Android,4G,ICICI,SBI,18-25,Authenticated
2024-10-13,1004,Success,0,1,Delhi,Utilities,Bill Payment,iOS,WiFi,Yes Bank,HDFC,36-45,Authenticated
2024-03-14,519,Success,0,1,Andhra Pradesh,Other,P2P,iOS,5G,ICICI,Yes Bank,36-45,Authenticated
2024-10-29,688,Success,0,1,Telangana,Other,P2P,Android,4G,HDFC,Paytm Bank,18-25,Authenticated
2024-11-04,1162,Success,0,1,Telangana,Other,P2P,iOS,5G,Paytm Bank,Yes Bank,46-55,Suspicious
2024-05-30,889,Success,0,1,Tamil Nadu,Other,P2P,Android,5G,Axis,ICICI,36-45,Authenticated
2024-03-19,1432,Success,0,1,Tamil Nadu,Other,P2P,Android,4G,PNB,Axis,26-35,Authenticated
2024-12-13,764,Success,0,1,Tamil Nadu,Utilities,Bill Payment,iOS,4G,PNB,Yes Bank,18-25,Authenticated
2024-11-12,1212,Success,0,1,Karnataka,Entertainment,P2M,Android,4G,UPI-Pay,SBI,26-35,Authenticated
2024-11-29,413,Success,0,1,Uttar Pradesh,Education,P2M,Android,5G,UPI-Pay,Axis,46-55,Authenticated
2024-07-25,638,Success,0,1,Uttar Pradesh,Shopping,P2M,Android,4G,Axis,UPI-Pay,56+,Authenticated
2024-04-10,1173,Success,0,1,West Bengal,Other,P2P,iOS,WiFi,Axis,ICICI,36-45,Authenticated
2024-08-14,1070,Success,0,1,Delhi,Utilities,Bill Payment,Android,4G,PNB,UPI-Pay,36-45,Authenticated
2024-11-28,776,Success,0,1,Maharashtra,Other,P2P,Android,5G,UPI-Pay,PNB,26-35,Authenticated
2024-09-23,1474,Success,0,1,Karnataka,Transport,P2M,Android,4G,UPI-Pay,Paytm Bank,18-25,Authenticated
2024-08-14,282,Success,0,1,Delhi,Grocery,P2M,iOS,4G,Yes Bank,SBI,26-35,Authenticated
2024-06-01,720,Success,0,1,Maharashtra,Utilities,Bill Payment,iOS,WiFi,ICICI,HDFC,26-35,Authenticated
2024-01-04,1096,Success,0,1,Rajasthan,Transport,P2M,Android,WiFi,Axis,SBI,18-25,Authenticated
2024-04-20,1061,Success,0,1,Uttar Pradesh,Shopping,P2M,Android,WiFi,Axis,Paytm Bank,18-25,Authenticated
2024-03-18,523,Success,0,1,Delhi,Shopping,P2M,Android,5G,SBI,Axis,26-35,Authenticated
2024-12-25,226,Success,0,1,Delhi,Other,P2P,Android,5G,HDFC,Yes Bank,26-35,Authenticated
2024-07-04,1459,Success,0,1,Telangana,Transport,P2M,iOS,4G,PNB,Paytm Bank,36-45,Authenticated
2024-04-07,1093,Success,0,1,Delhi,Other,P2P,Android,5G,Yes Bank,Axis,36-45,Authenticated
2024-02-07,1466,Success,0,1,Telangana,Entertainment,P2M,Android,5G,HDFC,ICICI,36-45,Authenticated
2024-11-07,1323,Success,0,1,Karnataka,Other,P2P,Android,5G,ICICI,Yes Bank,36-45,Authenticated
2024-05-26,1164,Success,0,1,Tamil Nadu,Other,P2P,iOS,4G,Paytm Bank,PNB,26-35,Authenticated
2024-02-17,357,Success,0,1,West Bengal,Utilities,Bill Payment,Android,5G,PNB,Paytm Bank,26-35,Authenticated
2024-05-30,329,Success,0,1,Gujarat,Other,P2P,Android,4G,Axis,HDFC,56+,Authenticated
2024-11-03,1322,Success,0,1,Andhra Pradesh,Shopping,P2M,Android,5G,HDFC,UPI-Pay,46-55,Authenticated
2024-07-19,955,Success,0,1,Telangana,Fuel,P2M,Android,4G,SBI,ICICI,36-45,Authenticated
2024-06-11,982,Success,0,1,Rajasthan,Healthcare,P2M,Android,4G,Paytm Bank,PNB,36-45,Authenticated
2024-02-29,1110,Success,0,1,Maharashtra,Utilities,Bill Payment,Android,5G,Paytm Bank,HDFC,46-55,Authenticated
2024-12-18,213,Success,0,1,Maharashtra,Other,P2P,iOS,4G,HDFC,PNB,36-45,Suspicious
2024-10-08,781,Success,0,1,Karnataka,Transport,P2M,Android,4G,UPI-Pay,Axis,36-45,Authenticated
2024-09-27,1230,Success,0,1,Rajasthan,Utilities,Bill Payment,Android,4G,ICICI,Yes Bank,26-35,Authenticated
2024-07-21,1396,Success,0,1,Uttar Pradesh,Fuel,P2M,iOS,4G,Paytm Bank,PNB,46-55,Authenticated
2024-11-16,887,Success,0,1,Andhra Pradesh,Other,Recharge,iOS,WiFi,ICICI,SBI,36-45,Authenticated
2024-06-13,434,Success,0,1,Rajasthan,Other,P2P,Android,5G,HDFC,Yes Bank,26-35,Authenticated
2024-02-14,725,Success,0,1,Maharashtra,Other,P2P,Android,4G,SBI,Yes Bank,36-45,Authenticated
2024-04-05,395,Success,0,1,West Bengal,Other,P2P,Android,4G,Axis,ICICI,26-35,Authenticated
2024-03-12,297,Failed,0,0,Rajasthan,Other,P2P,Android,4G,SBI,PNB,26-35,Authenticated
2024-09-28,1187,Success,0,1,Tamil Nadu,Utilities,Bill Payment,iOS,4G,Yes Bank,Axis,26-35,Authenticated
2024-11-06,656,Success,0,1,Gujarat,Other,P2P,Android,4G,PNB,Axis,18-25,Authenticated
2024-11-29,1099,Success,0,1,Uttar Pradesh,Other,P2P,Android,4G,Paytm Bank,Yes Bank,26-35,Authenticated
2024-02-13,376,Success,0,1,Tamil Nadu,Other,P2P,Android,WiFi,PNB,HDFC,18-25,Authenticated
2024-08-22,726,Success,0,1,Karnataka,Healthcare,P2M,Android,4G,PNB,SBI,46-55,Authenticated
2024-11-21,1493,Success,0,1,Uttar Pradesh,Other,P2P,iOS,4G,Yes Bank,HDFC,26-35,Authenticated
2024-01-11,3730,Success,0,1,Tamil Nadu,Utilities,Bill Payment,iOS,4G,Yes Bank,Paytm Bank,18-25,Authenticated
